Age,Gender,Education Level,Job Title,Years of Experience,Age_Exp_Interaction,Experience_Level,Current Salary,Duration,Predicted Salary,Estimated Growth
10.0,Male,Bachelor's,Chief Technology Officer,1.0,10.0,Junior,200.0,1.0,-1813.2532,-2013.253173828125
10.0,Male,Bachelor's,Chief Technology Officer,2.0,20.0,Junior,200.0,1.0,1088.1533,888.1533203125
2.0,Male,Bachelor's,Chief Technology Officer,2.0,4.0,Junior,200.0,1.0,985.70026,785.7002563476562
2.0,Male,Bachelor's,Chief Technology Officer,1.0,2.0,Junior,200.0,1.0,-1813.2532,-2013.253173828125
2.0,Male,Bachelor's,Chief Technology Officer,1.1,2.2,Junior,200.0,1.0,-1813.2532,-2013.253173828125
2.0,Male,Bachelor's,Chief Technology Officer,2.0,4.0,Junior,200.0,1.0,985.70026,785.7002563476562
2.0,Male,Bachelor's,Chief Technology Officer,0.0,0.0,Junior,900.0,0.0,-3086.7021,-3986.7021484375
2.0,Male,Bachelor's,Chief Technology Officer,0.0,0.0,Junior,900.0,0.0,-3086.7021,-3986.7021484375
2.0,Male,Bachelor's,Chief Technology Officer,0.1,0.2,Junior,900.0,1.0,-3086.7021,-3986.7021484375
30.0,Male,Bachelor's,Chief Technology Officer,0.1,3.0,Junior,900.0,1.0,-3005.2825,-3905.282470703125
30.0,Male,Bachelor's,Chief Technology Officer,0.5,15.0,Junior,900.0,1.0,-2158.8596,-3058.859619140625
30.0,Male,Bachelor's,Chief Technology Officer,0.5,15.0,Junior,90000.0,1.0,31692.97,-58307.029296875
30.0,Male,Bachelor's,Chief Technology Officer,2.0,60.0,Junior,7000.0,1.0,2481.678,-4518.322021484375
30.0,Male,Bachelor's,Chief Technology Officer,11.0,330.0,Senior,7000.0,1.0,56960.086,49960.0859375
30.0,Male,Bachelor's,Chief Technology Officer,6.0,180.0,Mid,7000.0,1.0,25196.033,18196.033203125
30.0,Male,Bachelor's,Chief Technology Officer,5.0,150.0,Junior,7000.0,0.0,14765.54,7765.5400390625
30.0,Male,Bachelor's,Chief Technology Officer,0.0,0.0,Junior,7000.0,0.0,-3005.2825,-10005.282470703125
30.0,Male,Bachelor's,Chief Technology Officer,1.0,30.0,Junior,7000.0,1.0,-1037.4005,-8037.4005126953125
30.0,Male,Bachelor's,Chief Technology Officer,5.0,150.0,Junior,7000.0,5.0,14765.54,7765.5400390625
30.0,Male,Bachelor's,Chief Technology Officer,10.0,300.0,Mid,70000.0,10.0,63886.754,-6113.24609375
30.0,Male,Bachelor's,Chief Technology Officer,10.0,300.0,Mid,70000.0,10.0,63886.754,-6113.24609375
30.0,Male,Bachelor's,Chief Technology Officer,5.0,150.0,Junior,70000.0,5.0,30831.959,-39168.041015625
30.0,Male,Bachelor's,Chief Technology Officer,10.0,300.0,Mid,70000.0,10.0,704017.4,634017.375
30.0,Male,Bachelor's,Chief Technology Officer,10.0,300.0,Mid,70000.0,10.0,178540.1,108540.09375
